,pt_BR,en
other_tutor_1,pressione Espaço,press Space
other_tutor_2,pressione K,press K
other_tutor_3,pressione L para correr,press L to run
other_tutor_4,pressione S,press S
dialog_press1,Pressione ,Press 
dialog_press2, para continuar..., to continue...
player_conf,configurações.,configurations.
player_conf_quit,sair do jogo,quit game
player_conf_exit,menu,menu
player_items,inventario,imventory
player_stats,status,stats
player_map,mapa,map
contract1,pressione ,press 
contract2, para confirmar, to confirm
